City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,82.99,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
2,Rikitea,PF,75.83,clear sky,-23.12,-134.97,Pension Maro'i
3,Samarai,PG,81.99,light rain,-10.62,150.67,Nuli Sapi
4,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
6,Tutoia,BR,80.98,scattered clouds,-2.76,-42.27,Pousada Guará's
7,Atuona,PF,78.44,few clouds,-9.8,-139.03,Villa Enata
8,Sola,VU,81.55,broken clouds,-13.88,167.55,Ulkel Guest House
19,Lorengau,PG,84.97,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
20,Bac Lieu,VN,77.31,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
24,Arlit,NE,77.81,clear sky,18.74,7.39,Hôtel Telwa Bungalow
27,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Chau Doc,VN,77.0,light rain,10.7,105.12,JADE AND SAPPHIRE GUESTHOUSE
29,Kununurra,AU,86.0,overcast clouds,-15.77,128.73,Hotel Kununurra
30,Butaritari,KI,81.63,overcast clouds,3.07,172.79,Isles Sunset Lodge
31,Mount Isa,AU,82.4,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
35,Namibe,AO,76.77,light rain,-15.2,12.15,Hotel Chik Chik Namibe
37,Kollam,IN,80.6,mist,8.88,76.6,The Raviz Ashtamudi
52,Hilo,US,87.8,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
58,Itarema,BR,79.29,overcast clouds,-2.92,-39.92,Windvillage
59,Padang,ID,77.4,moderate rain,-0.95,100.35,Mercure Padang
63,Lompoc,US,78.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
74,Anloga,GH,80.6,scattered clouds,5.79,0.9,Pin Drop Hotel
82,Coahuayana,MX,78.8,scattered clouds,18.73,-103.68,Hotel Los Arcos
85,Muisne,EC,75.47,overcast clouds,0.6,-80.03,Quinta Samay
101,Cabo San Lucas,MX,82.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
103,Hithadhoo,MV,83.8,overcast clouds,-0.6,73.08,Scoop Guest House
105,Jacareacanga,BR,82.17,scattered clouds,-6.22,-57.75,Casa do Ian😎
106,Kahului,US,89.6,clear sky,20.89,-156.47,Maui Seaside Hotel
110,Kokologo,BF,75.2,clear sky,12.19,-1.89,
112,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
113,Bengkulu,ID,75.38,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
116,Bathsheba,BB,78.8,shower rain,13.22,-59.52,Atlantis Hotel
117,Takoradi,GH,78.49,few clouds,4.88,-1.76,Raybow International Hotel
121,Pemba,MZ,75.2,scattered clouds,-12.97,40.52,Guesthouse Samotina
136,Ndioum,SN,80.6,clear sky,16.51,-14.65,l'hôtel samassa
137,San Rafael Del Sur,NI,86.0,scattered clouds,11.85,-86.44,Hospedaje El Chino
138,Humberto De Campos,BR,77.09,few clouds,-2.6,-43.46,Pousada do Cabeça
142,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
150,Faanui,PF,79.39,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
152,Meulaboh,ID,78.06,light rain,4.14,96.13,Kost Pria
160,Lazaro Cardenas,MX,83.64,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
161,Vila Do Maio,CV,77.0,broken clouds,15.13,-23.22,Residence 'I Delfini'
162,Lhokseumawe,ID,78.24,moderate rain,5.18,97.15,OYO 3278 Penginapan Alfajri
172,Muli,MV,82.33,overcast clouds,2.92,73.57,Medhufushi Island Resort
173,Maningrida,AU,85.14,few clouds,-12.07,134.27,Dhukurrdji Lodge
176,Biak,ID,79.21,overcast clouds,-0.91,122.88,Kost Ariz
177,Puerto Escondido,MX,84.2,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
186,Camocim,BR,79.39,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
189,Coihaique,CL,75.2,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
190,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
191,China,MX,78.01,clear sky,25.7,-99.23,Hotel Viajero
193,Celestun,MX,78.37,broken clouds,20.87,-90.4,Posada Lilia
194,Half Moon Bay,US,77.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
195,Namatanai,PG,85.06,overcast clouds,-3.67,152.43,Namatanai Hotel
196,Douentza,ML,80.76,clear sky,15.0,-2.95,Ogomono Doumbo
202,Kavieng,PG,85.19,clear sky,-2.57,150.8,Nusa Island Retreat
204,Pinotepa Nacional,MX,81.18,clear sky,16.32,-98.02,Hotel Maria Del Carmen
212,Kieta,PG,83.97,light rain,-6.22,155.63,
216,Kulhudhuffushi,MV,82.29,scattered clouds,6.62,73.07,Haajy Guest House 1
218,Iquitos,PE,80.6,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
223,Rancho Palos Verdes,US,75.0,broken clouds,33.74,-118.39,Terranea Resort
225,Lethem,GY,86.09,scattered clouds,3.38,-59.8,Savannah Inn
226,Los Llanos De Aridane,ES,80.6,clear sky,28.66,-17.92,Valle Aridane
228,Piedras Negras,MX,80.6,few clouds,28.7,-100.52,Holiday Inn Express & Suites Eagle Pass
230,Clearwater,US,82.4,overcast clouds,27.97,-82.8,Shephard's Beach Resort
235,Kuah,MY,78.8,few clouds,6.33,99.84,Azio Hotel
243,Bowen,AU,80.6,clear sky,-20.02,148.23,Castle Motor Lodge Motel
246,Coruripe,BR,77.61,broken clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
249,Moussoro,TD,82.83,clear sky,13.64,16.49,Pharmacie alnadja Moussoro
253,Oum Hadjer,TD,83.7,few clouds,13.3,19.7,
261,Kloulklubed,PW,80.6,shower rain,7.04,134.26,Storyboard Beach Resort
268,Umm Bab,QA,77.0,clear sky,25.21,50.81,
270,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
271,Panguna,PG,79.72,light rain,-6.32,155.48,
272,Port Blair,IN,79.74,clear sky,11.67,92.75,Fortune Resort Bay Island
274,Keti Bandar,PK,78.49,clear sky,24.14,67.45,Haji laloo memon house
275,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
280,Port Hedland,AU,77.0,clear sky,-20.32,118.57,The Esplanade Hotel
285,Eydhafushi,MV,81.95,clear sky,5.1,73.07,Soneva Fushi
288,Maceio,BR,77.0,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
290,Manokwari,ID,84.2,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
291,Kasangulu,CD,80.6,few clouds,-4.59,15.17,Hôtel le Relais
293,Kapoeta,SS,79.45,scattered clouds,4.77,33.59,Eastgate Hotel
294,Mareeba,AU,87.01,clear sky,-17.0,145.43,Trinity Plains Tourist Park
295,Atambua,ID,80.67,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
301,Eyl,SO,78.84,clear sky,7.98,49.82,Amiin Hotel
302,Mbini,GQ,77.0,scattered clouds,1.57,9.61,
307,Labuhan,ID,75.76,light rain,-6.88,112.21,bador sepret
308,Nha Trang,VN,80.6,scattered clouds,12.25,109.18,Hanoi Golden Hotel
310,Pacifica,US,75.99,clear sky,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
