City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.08,-159.32,82.99,65,90,13.87,overcast clouds
1,Colac,AU,-38.33,143.58,57.0,77,94,3.71,overcast clouds
2,Rikitea,PF,-23.12,-134.97,75.83,67,0,5.86,clear sky
3,Samarai,PG,-10.62,150.67,81.99,80,100,8.3,light rain
4,Georgetown,MY,5.41,100.34,77.0,94,20,3.36,few clouds
5,Birjand,IR,32.87,59.22,35.6,8,0,4.7,clear sky
6,Tutoia,BR,-2.76,-42.27,80.98,80,47,13.29,scattered clouds
7,Atuona,PF,-9.8,-139.03,78.44,75,11,17.63,few clouds
8,Sola,VU,-13.88,167.55,81.55,80,67,19.33,broken clouds
9,Ilulissat,GL,69.22,-51.1,21.2,73,100,10.29,light shower snow
10,Linping,CN,30.42,120.3,64.0,82,86,4.47,overcast clouds
11,Kodiak,US,57.79,-152.41,37.4,40,1,14.99,clear sky
12,Jamestown,US,42.1,-79.24,37.4,69,1,8.05,clear sky
13,Goderich,CA,43.75,-81.72,41.0,65,8,11.41,clear sky
14,Zhanakorgan,KZ,43.91,67.25,41.04,63,0,4.79,clear sky
15,Carnarvon,AU,-24.87,113.63,71.6,68,90,17.22,overcast clouds
16,Makueni,KE,-1.8,37.62,65.16,89,73,6.08,light rain
17,Albany,US,42.6,-73.97,37.0,82,0,5.41,clear sky
18,Khani,GE,41.96,42.96,60.8,93,75,5.82,broken clouds
19,Lorengau,PG,-2.02,147.27,84.97,70,39,8.28,scattered clouds
20,Bac Lieu,VN,9.29,105.72,77.31,88,100,5.08,overcast clouds
21,Ponta Do Sol,PT,32.67,-17.1,72.0,64,20,10.29,few clouds
22,Mataura,NZ,-46.19,168.86,55.0,76,40,15.99,light rain
23,Barcelos,PT,41.54,-8.62,62.6,93,90,10.29,mist
24,Arlit,NE,18.74,7.39,77.81,21,0,15.66,clear sky
25,Punta Arenas,CL,-53.15,-70.92,57.2,62,75,11.41,broken clouds
26,Cape Town,ZA,-33.93,18.42,60.01,58,0,11.41,clear sky
27,Vaini,TO,-21.2,-175.2,77.0,83,75,11.41,broken clouds
28,Chau Doc,VN,10.7,105.12,77.0,88,94,3.49,light rain
29,Kununurra,AU,-15.77,128.73,86.0,74,95,7.83,overcast clouds
30,Butaritari,KI,3.07,172.79,81.63,75,99,15.26,overcast clouds
31,Mount Isa,AU,-20.73,139.5,82.4,17,0,10.29,clear sky
32,Furmanov,RU,57.25,41.11,39.2,80,90,8.95,overcast clouds
33,Port Alfred,ZA,-33.59,26.89,61.68,81,54,10.67,broken clouds
34,Ushuaia,AR,-54.8,-68.3,50.0,87,90,6.93,light intensity drizzle
35,Namibe,AO,-15.2,12.15,76.77,71,64,2.42,light rain
36,Oktyabrskoye,RU,43.06,44.74,50.0,93,82,4.47,broken clouds
37,Kollam,IN,8.88,76.6,80.6,94,20,2.21,mist
38,Verkhnyaya Inta,RU,65.98,60.31,32.76,97,100,17.4,overcast clouds
39,Hermanus,ZA,-34.42,19.23,57.0,83,0,5.99,clear sky
40,Pelym,RU,61.01,62.0,31.21,97,100,7.94,overcast clouds
41,Yerbogachen,RU,61.28,108.01,0.39,92,0,1.19,clear sky
42,Port Elizabeth,ZA,-33.92,25.57,64.4,82,0,5.82,clear sky
43,Souillac,MU,-20.52,57.52,66.2,82,40,8.05,shower rain
44,Semey,KZ,50.41,80.23,31.8,95,0,5.77,clear sky
45,Rawlins,US,41.79,-107.24,53.6,23,1,14.99,clear sky
46,Oromocto,CA,45.84,-66.48,32.0,50,1,4.7,clear sky
47,Khatanga,RU,71.97,102.5,-5.78,87,46,9.93,scattered clouds
48,Barsovo,RU,61.17,73.17,32.0,98,0,6.71,clear sky
49,Meridian,US,43.61,-116.39,60.01,33,1,5.82,clear sky
50,Saldanha,ZA,-33.01,17.94,57.2,62,0,6.93,clear sky
51,Bredasdorp,ZA,-34.53,20.04,53.6,87,0,2.24,clear sky
52,Hilo,US,19.73,-155.09,87.8,58,40,11.41,scattered clouds
53,Tarauaca,BR,-8.16,-70.77,70.21,90,100,2.17,overcast clouds
54,Yumen,CN,40.28,97.2,35.35,70,39,12.03,scattered clouds
55,Saint-Philippe,RE,-21.36,55.77,66.2,59,0,8.05,clear sky
56,Wadi Maliz,TN,36.47,8.55,51.8,76,0,2.24,clear sky
57,Scarborough,GB,54.28,-0.4,48.0,82,60,3.0,light rain
58,Itarema,BR,-2.92,-39.92,79.29,84,94,13.09,overcast clouds
59,Padang,ID,-0.95,100.35,77.4,82,100,4.36,moderate rain
60,Belaya Gora,RU,68.53,146.42,-5.53,91,100,4.56,overcast clouds
61,Tromso,NO,69.65,18.96,41.0,75,20,23.04,few clouds
62,Zapolyarnyy,RU,69.42,30.81,30.2,92,100,18.34,overcast clouds
63,Lompoc,US,34.64,-120.46,78.01,36,1,10.29,clear sky
64,Dikson,RU,73.51,80.55,17.47,97,100,8.3,light snow
65,San Vicente,AR,-26.62,-54.13,64.06,80,57,5.08,light rain
66,Furstenwalde,DE,52.37,14.07,57.99,26,34,9.64,scattered clouds
67,Redmond,US,47.67,-122.12,55.99,66,14,5.3,few clouds
68,Barrow,US,71.29,-156.79,24.8,73,90,12.75,light snow
69,Chokurdakh,RU,70.63,147.92,-8.99,91,89,7.99,overcast clouds
70,Sangar,RU,63.92,127.47,-15.54,89,12,1.79,few clouds
71,Muroto,JP,33.28,134.15,57.2,76,75,8.05,broken clouds
72,Cidreira,BR,-30.18,-50.21,62.55,75,37,8.72,light rain
73,Lata,PT,40.16,-8.33,64.0,89,83,2.71,broken clouds
74,Anloga,GH,5.79,0.9,80.6,88,40,9.17,scattered clouds
75,Ribeira Grande,PT,38.52,-28.7,68.9,93,70,20.02,broken clouds
76,Puerto Ayora,EC,-0.74,-90.35,70.0,90,100,5.01,overcast clouds
77,Geraldton,AU,-28.77,114.6,66.2,72,90,12.75,light rain
78,Pangnirtung,CA,66.15,-65.71,12.69,79,100,5.3,overcast clouds
79,Mul,IN,20.07,79.67,65.1,67,0,4.12,clear sky
80,Masterton,NZ,-40.96,175.66,62.01,74,20,7.0,few clouds
81,Bethel,US,41.37,-73.41,37.0,74,1,4.7,clear sky
82,Coahuayana,MX,18.73,-103.68,78.8,83,40,13.87,scattered clouds
83,Dunedin,NZ,-45.87,170.5,57.99,72,23,11.01,few clouds
84,Beyneu,KZ,45.32,55.2,47.37,54,99,14.34,overcast clouds
85,Muisne,EC,0.6,-80.03,75.47,83,100,7.76,overcast clouds
86,Mayskiy,RU,47.69,40.1,51.8,93,40,11.18,scattered clouds
87,Qaanaaq,GL,77.48,-69.36,6.85,83,59,6.2,broken clouds
88,Lujan,AR,-34.57,-59.1,66.2,45,0,10.29,clear sky
89,Arraial Do Cabo,BR,-22.97,-42.03,70.92,84,92,18.66,light rain
90,Busselton,AU,-33.65,115.33,59.0,80,100,1.97,light rain
91,Marzuq,YE,14.4,46.47,63.19,41,0,1.59,clear sky
92,Nikolskoye,RU,59.7,30.79,37.0,89,21,2.24,fog
93,Navlya,RU,52.83,34.5,45.37,86,100,13.31,light rain
94,Dali,CN,25.7,100.18,57.76,87,68,3.87,broken clouds
95,Hobart,AU,-42.88,147.33,64.0,71,75,13.87,broken clouds
96,Esperance,AU,-33.87,121.9,62.6,93,40,12.75,scattered clouds
97,Juneau,US,58.3,-134.42,46.99,87,90,31.09,mist
98,Zunyi,CN,27.69,106.91,55.09,93,100,1.7,light rain
99,New Norfolk,AU,-42.78,147.06,64.99,42,19,1.99,few clouds
100,Pali,IN,25.77,73.33,66.61,26,0,2.17,clear sky
101,Cabo San Lucas,MX,22.89,-109.91,82.99,69,20,10.29,few clouds
102,Pevek,RU,69.7,170.31,14.05,95,55,12.08,broken clouds
103,Hithadhoo,MV,-0.6,73.08,83.8,69,100,8.84,overcast clouds
104,Luderitz,NA,-26.65,15.16,64.38,47,17,21.43,few clouds
105,Jacareacanga,BR,-6.22,-57.75,82.17,57,45,1.86,scattered clouds
106,Kahului,US,20.89,-156.47,89.6,49,1,12.75,clear sky
107,Korla,CN,41.76,86.15,37.44,71,0,3.15,clear sky
108,Sidhpura,IN,27.63,78.88,66.87,27,0,6.38,clear sky
109,Saint-Pierre,RE,-21.34,55.48,66.2,59,0,8.05,clear sky
110,Kokologo,BF,12.19,-1.89,75.2,57,0,1.12,clear sky
111,Flin Flon,CA,54.77,-101.86,19.4,67,20,8.05,few clouds
112,Touros,BR,-5.2,-35.46,78.8,83,40,6.93,scattered clouds
113,Bengkulu,ID,-3.8,102.27,75.38,87,100,4.0,overcast clouds
114,Komsomolskiy,UZ,40.43,71.72,41.0,35,43,6.93,scattered clouds
115,Kawambwa,ZM,-9.79,29.08,70.14,47,75,6.55,broken clouds
116,Bathsheba,BB,13.22,-59.52,78.8,88,75,12.75,shower rain
117,Takoradi,GH,4.88,-1.76,78.49,87,23,6.35,few clouds
118,Ahipara,NZ,-35.17,173.17,69.08,67,15,4.92,few clouds
119,Brae,GB,60.4,-1.35,50.0,81,98,44.96,light rain
120,Kristinehamn,SE,59.31,14.11,50.0,100,92,10.29,overcast clouds
121,Pemba,MZ,-12.97,40.52,75.2,83,40,5.82,scattered clouds
122,Longyearbyen,SJ,78.22,15.64,24.8,73,40,12.75,scattered clouds
123,Pionerskiy,RU,54.95,20.23,46.4,87,90,4.47,overcast clouds
124,Dauriya,RU,49.93,116.87,24.73,96,100,12.41,overcast clouds
125,Hasaki,JP,35.73,140.83,48.2,93,20,2.24,few clouds
126,Yellowknife,CA,62.46,-114.35,21.2,92,90,10.29,light snow
127,Polunochnoye,RU,60.87,60.42,30.04,97,96,6.4,overcast clouds
128,Bay Roberts,CA,47.6,-53.26,35.01,62,82,1.01,broken clouds
129,Tyup,KG,42.73,78.36,31.73,76,0,2.19,clear sky
130,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,75,4.7,broken clouds
131,Orangeburg,US,33.49,-80.86,63.0,59,90,6.93,overcast clouds
132,Yuxia,CN,34.06,108.63,52.0,81,0,2.24,clear sky
133,Nacala,MZ,-14.54,40.67,74.93,75,91,2.68,overcast clouds
134,Naryan-Mar,RU,67.67,53.09,33.03,93,93,12.55,overcast clouds
135,Thompson,CA,55.74,-97.86,19.4,67,75,9.17,broken clouds
136,Ndioum,SN,16.51,-14.65,80.6,47,0,7.78,clear sky
137,San Rafael Del Sur,NI,11.85,-86.44,86.0,70,40,9.17,scattered clouds
138,Humberto De Campos,BR,-2.6,-43.46,77.09,89,24,6.49,few clouds
139,Husavik,IS,66.04,-17.34,37.4,74,0,3.36,clear sky
140,Wiarton,CA,44.74,-81.13,39.2,69,20,14.99,few clouds
141,Shiyan,CN,32.65,110.78,58.78,65,100,3.4,overcast clouds
142,Avarua,CK,-21.21,-159.78,75.2,83,99,11.41,overcast clouds
143,Bambous Virieux,MU,-20.34,57.76,66.2,82,40,8.05,shower rain
144,Clyde River,CA,70.47,-68.59,14.0,92,75,16.11,light snow
145,Borogontsy,RU,62.67,131.17,-14.37,89,73,3.0,broken clouds
146,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,17.22,broken clouds
147,Provideniya,RU,64.38,-173.3,23.05,88,44,5.39,scattered clouds
148,Nampula,MZ,-15.12,39.27,69.8,88,75,8.05,broken clouds
149,Bluff,NZ,-46.6,168.33,55.0,76,96,15.99,overcast clouds
150,Faanui,PF,-16.48,-151.75,79.39,73,1,18.41,clear sky
151,Zyryanka,RU,65.75,150.85,3.25,94,99,5.01,overcast clouds
152,Meulaboh,ID,4.14,96.13,78.06,81,100,4.54,light rain
153,Sorland,NO,67.67,12.69,46.72,67,100,24.56,overcast clouds
154,Fairbanks,US,64.84,-147.72,10.0,71,90,2.77,light snow
155,Mahon,ES,39.89,4.27,60.8,87,5,5.82,clear sky
156,Batman,TR,37.89,41.13,51.8,30,40,6.93,scattered clouds
157,Yulara,AU,-25.24,130.99,73.4,23,0,14.99,clear sky
158,Tuatapere,NZ,-46.13,167.68,55.0,76,68,15.99,light rain
