City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.92,46.4,70,75,20.8,CL,2020-10-30 05:17:50
1,Mackay,-21.15,149.2,88.0,55,0,19.46,AU,2020-10-30 05:15:52
2,Busselton,-33.65,115.33,89.01,20,0,4.34,AU,2020-10-30 05:17:50
3,Atuona,-9.8,-139.03,78.22,68,60,15.03,PF,2020-10-30 05:17:50
4,Hilo,19.73,-155.09,78.8,83,90,1.92,US,2020-10-30 05:17:50
5,Henties Bay,-22.12,14.28,55.0,93,28,9.1,NA,2020-10-30 05:17:51
6,Flinders,-34.58,150.86,71.01,69,76,4.0,AU,2020-10-30 05:17:51
7,Raditsa-Krylovka,53.32,34.36,39.2,93,75,4.29,RU,2020-10-30 05:17:51
8,Kumano,34.34,132.59,68.0,51,40,9.17,JP,2020-10-30 05:17:51
9,Avarua,-21.21,-159.78,73.4,78,100,5.82,CK,2020-10-30 05:17:52
10,Kasongo-Lunda,-6.47,16.82,70.84,94,100,2.46,CD,2020-10-30 05:17:52
11,Rikitea,-23.12,-134.97,75.45,73,100,4.23,PF,2020-10-30 05:17:53
12,Pauini,-7.71,-66.98,77.34,81,99,2.01,BR,2020-10-30 05:17:53
13,Sao Jose Da Coroa Grande,-8.9,-35.15,76.53,86,51,11.72,BR,2020-10-30 05:17:53
14,East London,-33.02,27.91,59.0,77,20,16.11,ZA,2020-10-30 05:17:53
15,Werda,-25.27,23.28,76.6,36,98,14.45,BW,2020-10-30 05:17:54
16,Sobolevo,54.43,31.9,44.06,93,100,6.78,RU,2020-10-30 05:17:54
17,Qaanaaq,77.48,-69.36,5.54,72,31,7.05,GL,2020-10-30 05:17:54
18,Mahebourg,-20.41,57.7,75.0,49,13,8.99,MU,2020-10-30 05:15:21
19,Matamoros,25.53,-103.25,53.44,42,0,2.71,MX,2020-10-30 05:17:55
20,Vao,-22.67,167.48,73.96,82,91,17.81,NC,2020-10-30 05:17:55
21,Butaritari,3.07,172.79,82.24,76,31,11.77,KI,2020-10-30 05:15:44
22,Saldanha,-33.01,17.94,48.2,76,0,4.7,ZA,2020-10-30 05:17:55
23,Ushuaia,-54.8,-68.3,42.8,81,90,11.41,AR,2020-10-30 05:16:06
24,Iralaya,15.0,-83.23,80.35,81,99,4.25,HN,2020-10-30 05:17:56
25,Albany,42.6,-73.97,39.99,89,100,9.06,US,2020-10-30 05:13:07
26,Maceio,-9.67,-35.74,73.4,94,75,2.24,BR,2020-10-30 05:17:56
27,Mataura,-46.19,168.86,60.01,92,100,3.0,NZ,2020-10-30 05:17:57
28,Sibolga,1.74,98.78,87.24,56,50,5.66,ID,2020-10-30 05:17:57
29,Jamestown,42.1,-79.24,42.01,100,90,9.17,US,2020-10-30 05:16:30
30,Cockburn Town,21.46,-71.14,82.42,78,18,16.06,TC,2020-10-30 05:17:57
31,Saskylakh,71.92,114.08,0.39,85,18,6.69,RU,2020-10-30 05:17:58
32,Provideniya,64.38,-173.3,23.0,67,0,2.04,RU,2020-10-30 05:17:58
33,Kapaa,22.08,-159.32,78.8,65,75,5.82,US,2020-10-30 05:17:58
34,Cape Town,-33.93,18.42,54.0,81,20,2.24,ZA,2020-10-30 05:17:10
35,Gazli,40.13,63.45,48.52,45,0,14.88,UZ,2020-10-30 05:17:59
36,Udachnyy,66.42,112.4,-3.33,90,80,1.32,RU,2020-10-30 05:17:59
37,Codrington,-38.27,141.97,60.15,85,9,17.43,AU,2020-10-30 05:16:42
38,Goderich,43.75,-81.72,39.0,80,98,18.68,CA,2020-10-30 05:15:03
39,Port Alfred,-33.59,26.89,61.18,63,96,13.96,ZA,2020-10-30 05:15:39
40,Husavik,66.04,-17.34,44.6,65,90,5.82,IS,2020-10-30 05:18:00
41,Coos Bay,43.37,-124.22,48.2,100,40,6.93,US,2020-10-30 05:18:00
42,Manado,1.49,124.85,87.85,62,61,8.23,ID,2020-10-30 05:14:13
43,Romitan,39.93,64.38,46.4,52,0,2.24,UZ,2020-10-30 05:18:01
44,Santa Isabel Do Rio Negro,-0.41,-65.02,75.7,90,27,0.85,BR,2020-10-30 05:18:01
45,Port Elizabeth,-33.92,25.57,59.0,77,20,8.05,ZA,2020-10-30 05:18:01
46,Ilulissat,69.22,-51.1,15.8,66,90,4.7,GL,2020-10-30 05:18:02
47,Iqaluit,63.75,-68.51,4.33,91,31,9.6,CA,2020-10-30 05:16:18
48,Villacarrillo,38.12,-3.08,52.36,64,0,3.11,ES,2020-10-30 05:18:02
49,Luderitz,-26.65,15.16,56.32,68,0,28.01,NA,2020-10-30 05:18:02
50,Fortuna,40.6,-124.16,46.4,100,20,5.82,US,2020-10-30 05:13:03
51,Nikolskoye,59.7,30.79,50.0,93,90,0.31,RU,2020-10-30 05:18:03
52,Shimoda,34.67,138.95,66.2,45,40,16.11,JP,2020-10-30 05:18:03
53,Ribeira Grande,38.52,-28.7,67.42,87,61,8.23,PT,2020-10-30 05:18:03
54,Upernavik,72.79,-56.15,25.7,92,100,6.06,GL,2020-10-30 05:18:04
55,Porto Novo,6.5,2.6,76.46,90,93,1.92,BJ,2020-10-30 05:17:29
56,Sabang,5.89,95.32,82.92,71,81,9.08,ID,2020-10-30 05:18:04
57,New Norfolk,-42.78,147.06,62.01,62,81,3.0,AU,2020-10-30 05:18:04
58,Barrow,71.29,-156.79,24.8,85,90,13.87,US,2020-10-30 05:15:24
59,Lavrentiya,65.58,-171.0,24.03,87,4,4.09,RU,2020-10-30 05:18:05
60,Vaini,-21.2,-175.2,75.2,64,20,10.29,TO,2020-10-30 05:18:05
61,Popondetta,-8.75,148.25,87.28,63,68,4.81,PG,2020-10-30 05:18:05
62,Kamenka,51.32,42.77,45.0,77,100,12.57,RU,2020-10-30 05:17:06
63,Kruisfontein,-34.0,24.73,57.99,73,23,3.0,ZA,2020-10-30 05:18:06
64,Mago,53.25,140.18,38.95,74,83,3.04,RU,2020-10-30 05:18:06
65,Oktyabrskiy,54.48,53.47,34.83,84,27,4.45,RU,2020-10-30 05:18:06
66,Antofagasta,-23.65,-70.4,59.0,77,90,4.7,CL,2020-10-30 05:16:24
67,Inongo,-1.95,18.27,70.93,91,98,4.59,CD,2020-10-30 05:18:07
68,Khatanga,71.97,102.5,-0.76,85,0,9.26,RU,2020-10-30 05:18:07
69,Hithadhoo,-0.6,73.08,83.32,76,81,12.53,MV,2020-10-30 05:18:07
70,Pemba,-12.97,40.52,78.8,83,40,4.7,MZ,2020-10-30 05:18:08
71,Hasaki,35.73,140.83,63.0,55,75,4.7,JP,2020-10-30 05:18:08
72,Narsaq,60.92,-46.05,30.2,86,76,4.34,GL,2020-10-30 05:18:08
73,Tiksi,71.69,128.87,12.15,96,99,5.28,RU,2020-10-30 05:18:08
74,Hurghada,27.26,33.81,75.2,69,0,6.93,EG,2020-10-30 05:18:09
75,Hobart,-42.88,147.33,62.01,67,75,18.34,AU,2020-10-30 05:15:28
76,Gueret,46.17,1.87,48.2,100,90,2.24,FR,2020-10-30 05:18:09
77,Cidreira,-30.18,-50.21,58.64,70,52,7.47,BR,2020-10-30 05:18:09
78,Kahului,20.89,-156.47,82.4,69,75,6.93,US,2020-10-30 05:18:10
79,Bethel,41.37,-73.41,43.0,100,90,11.41,US,2020-10-30 05:18:10
80,Camacha,33.08,-16.33,68.0,77,20,5.82,PT,2020-10-30 05:18:10
81,Qaqortoq,60.72,-46.03,30.2,86,81,7.25,GL,2020-10-30 05:18:10
82,Hermanus,-34.42,19.23,50.0,82,49,1.01,ZA,2020-10-30 05:18:11
83,Guerrero Negro,27.98,-114.06,66.4,62,0,8.46,MX,2020-10-30 05:18:11
84,Teknaf,20.86,92.31,88.09,66,100,2.35,BD,2020-10-30 05:15:56
85,Mandalgovi,45.76,106.27,46.04,47,100,21.05,MN,2020-10-30 05:18:12
86,Chuy,-33.7,-53.46,52.66,82,36,5.57,UY,2020-10-30 05:18:12
87,Mount Gambier,-37.83,140.77,62.6,77,75,14.99,AU,2020-10-30 05:18:13
88,Pinerolo,44.88,7.35,48.0,83,100,2.1,IT,2020-10-30 05:18:13
89,Wajir,1.75,40.06,77.23,74,59,11.86,KE,2020-10-30 05:18:13
90,College,64.86,-147.8,15.8,78,90,4.7,US,2020-10-30 05:18:14
91,Puerto Ayora,-0.74,-90.35,66.99,96,100,4.0,EC,2020-10-30 05:18:14
92,Menongue,-14.66,17.69,68.36,70,24,2.71,AO,2020-10-30 05:18:14
93,Havre-Saint-Pierre,50.23,-63.6,26.4,88,0,15.03,CA,2020-10-30 05:18:14
94,Lugovoy,42.95,72.76,47.21,47,0,6.89,KZ,2020-10-30 05:18:14
95,Arraial Do Cabo,-22.97,-42.03,74.12,95,100,11.83,BR,2020-10-30 05:16:38
96,Kaitangata,-46.28,169.85,61.0,86,100,1.99,NZ,2020-10-30 05:15:35
97,Maralal,1.1,36.7,59.67,84,98,5.77,KE,2020-10-30 05:18:15
98,Bredasdorp,-34.53,20.04,53.6,54,17,9.17,ZA,2020-10-30 05:18:15
99,Wageningen,51.97,5.67,57.0,100,90,14.99,NL,2020-10-30 05:18:16
100,Lebu,-37.62,-73.65,51.24,83,12,14.85,CL,2020-10-30 05:18:16
101,Geraldton,-28.77,114.6,91.4,29,0,13.87,AU,2020-10-30 05:18:16
102,Bhinga,27.72,81.93,83.17,40,0,5.46,IN,2020-10-30 05:18:16
103,Faanui,-16.48,-151.75,79.83,81,10,10.38,PF,2020-10-30 05:18:17
104,Georgetown,5.41,100.34,89.6,62,20,4.7,MY,2020-10-30 05:18:17
105,Gigmoto,13.78,124.39,84.22,77,97,12.75,PH,2020-10-30 05:18:17
106,Flin Flon,54.77,-101.86,21.34,97,90,7.14,CA,2020-10-30 05:18:18
107,Saint Anthony,45.02,-93.22,30.99,79,75,0.83,US,2020-10-30 05:18:18
108,Awbari,26.59,12.78,57.29,53,0,8.3,LY,2020-10-30 05:18:18
109,Vengerovo,55.68,76.75,35.78,96,100,11.56,RU,2020-10-30 05:18:19
110,Pochutla,15.74,-96.47,73.0,93,100,4.32,MX,2020-10-30 05:18:19
111,Inhambane,-23.86,35.38,75.2,83,40,6.93,MZ,2020-10-30 05:18:19
112,Port-Gentil,-0.72,8.78,78.8,94,90,2.24,GA,2020-10-30 05:18:20
113,Kodiak,57.79,-152.41,28.4,79,1,5.82,US,2020-10-30 05:18:20
114,Saint-Philippe,-21.36,55.77,75.2,53,75,23.04,RE,2020-10-30 05:18:20
115,Victoria,22.29,114.16,80.01,71,97,1.01,HK,2020-10-30 05:15:03
116,Port-Cartier,50.03,-66.87,27.0,70,0,5.01,CA,2020-10-30 05:18:21
117,Man,7.41,-7.55,68.95,78,4,1.28,CI,2020-10-30 05:18:22
118,Mar Del Plata,-38.0,-57.56,46.0,93,0,4.7,AR,2020-10-30 05:15:14
119,Jieshi,22.81,115.83,82.99,64,87,18.39,CN,2020-10-30 05:18:22
120,Viedma,-40.81,-63.0,51.01,52,0,1.01,AR,2020-10-30 05:16:55
